Culmen Length (mm),Culmen Depth (mm),Species
39.1,18.7,Adelie
39.5,17.4,Adelie
40.3,18.0,Adelie
36.7,19.3,Adelie
39.3,20.6,Adelie
38.9,17.8,Adelie
39.2,19.6,Adelie
34.1,18.1,Adelie
42.0,20.2,Adelie
37.8,17.1,Adelie
37.8,17.3,Adelie
41.1,17.6,Adelie
38.6,21.2,Adelie
34.6,21.1,Adelie
36.6,17.8,Adelie
38.7,19.0,Adelie
42.5,20.7,Adelie
34.4,18.4,Adelie
46.0,21.5,Adelie
37.8,18.3,Adelie
37.7,18.7,Adelie
35.9,19.2,Adelie
38.2,18.1,Adelie
38.8,17.2,Adelie
35.3,18.9,Adelie
40.6,18.6,Adelie
40.5,17.9,Adelie
37.9,18.6,Adelie
40.5,18.9,Adelie
39.5,16.7,Adelie
37.2,18.1,Adelie
39.5,17.8,Adelie
40.9,18.9,Adelie
36.4,17.0,Adelie
39.2,21.1,Adelie
38.8,20.0,Adelie
42.2,18.5,Adelie
37.6,19.3,Adelie
39.8,19.1,Adelie
36.5,18.0,Adelie
40.8,18.4,Adelie
36.0,18.5,Adelie
44.1,19.7,Adelie
37.0,16.9,Adelie
39.6,18.8,Adelie
41.1,19.0,Adelie
37.5,18.9,Adelie
36.0,17.9,Adelie
42.3,21.2,Adelie
39.6,17.7,Adelie
40.1,18.9,Adelie
35.0,17.9,Adelie
42.0,19.5,Adelie
34.5,18.1,Adelie
41.4,18.6,Adelie
39.0,17.5,Adelie
40.6,18.8,Adelie
36.5,16.6,Adelie
37.6,19.1,Adelie
35.7,16.9,Adelie
41.3,21.1,Adelie
37.6,17.0,Adelie
41.1,18.2,Adelie
36.4,17.1,Adelie
41.6,18.0,Adelie
35.5,16.2,Adelie
41.1,19.1,Adelie
35.9,16.6,Adelie
41.8,19.4,Adelie
33.5,19.0,Adelie
39.7,18.4,Adelie
39.6,17.2,Adelie
45.8,18.9,Adelie
35.5,17.5,Adelie
42.8,18.5,Adelie
40.9,16.8,Adelie
37.2,19.4,Adelie
36.2,16.1,Adelie
42.1,19.1,Adelie
34.6,17.2,Adelie
42.9,17.6,Adelie
36.7,18.8,Adelie
35.1,19.4,Adelie
37.3,17.8,Adelie
41.3,20.3,Adelie
36.3,19.5,Adelie
36.9,18.6,Adelie
38.3,19.2,Adelie
38.9,18.8,Adelie
35.7,18.0,Adelie
41.1,18.1,Adelie
34.0,17.1,Adelie
39.6,18.1,Adelie
36.2,17.3,Adelie
40.8,18.9,Adelie
38.1,18.6,Adelie
40.3,18.5,Adelie
33.1,16.1,Adelie
43.2,18.5,Adelie
35.0,17.9,Adelie
41.0,20.0,Adelie
37.7,16.0,Adelie
37.8,20.0,Adelie
37.9,18.6,Adelie
39.7,18.9,Adelie
38.6,17.2,Adelie
38.2,20.0,Adelie
38.1,17.0,Adelie
43.2,19.0,Adelie
38.1,16.5,Adelie
45.6,20.3,Adelie
39.7,17.7,Adelie
42.2,19.5,Adelie
39.6,20.7,Adelie
42.7,18.3,Adelie
38.6,17.0,Adelie
37.3,20.5,Adelie
35.7,17.0,Adelie
41.1,18.6,Adelie
36.2,17.2,Adelie
37.7,19.8,Adelie
40.2,17.0,Adelie
41.4,18.5,Adelie
35.2,15.9,Adelie
40.6,19.0,Adelie
38.8,17.6,Adelie
41.5,18.3,Adelie
39.0,17.1,Adelie
44.1,18.0,Adelie
38.5,17.9,Adelie
43.1,19.2,Adelie
36.8,18.5,Adelie
37.5,18.5,Adelie
38.1,17.6,Adelie
41.1,17.5,Adelie
35.6,17.5,Adelie
40.2,20.1,Adelie
37.0,16.5,Adelie
39.7,17.9,Adelie
40.2,17.1,Adelie
40.6,17.2,Adelie
32.1,15.5,Adelie
40.7,17.0,Adelie
37.3,16.8,Adelie
39.0,18.7,Adelie
39.2,18.6,Adelie
36.6,18.4,Adelie
36.0,17.8,Adelie
37.8,18.1,Adelie
36.0,17.1,Adelie
41.5,18.5,Adelie
46.1,13.2,Gentoo
50.0,16.3,Gentoo
48.7,14.1,Gentoo
50.0,15.2,Gentoo
47.6,14.5,Gentoo
46.5,13.5,Gentoo
45.4,14.6,Gentoo
46.7,15.3,Gentoo
43.3,13.4,Gentoo
46.8,15.4,Gentoo
40.9,13.7,Gentoo
49.0,16.1,Gentoo
45.5,13.7,Gentoo
48.4,14.6,Gentoo
45.8,14.6,Gentoo
49.3,15.7,Gentoo
42.0,13.5,Gentoo
49.2,15.2,Gentoo
46.2,14.5,Gentoo
48.7,15.1,Gentoo
50.2,14.3,Gentoo
45.1,14.5,Gentoo
46.5,14.5,Gentoo
46.3,15.8,Gentoo
42.9,13.1,Gentoo
46.1,15.1,Gentoo
44.5,14.3,Gentoo
47.8,15.0,Gentoo
48.2,14.3,Gentoo
50.0,15.3,Gentoo
47.3,15.3,Gentoo
42.8,14.2,Gentoo
45.1,14.5,Gentoo
59.6,17.0,Gentoo
49.1,14.8,Gentoo
48.4,16.3,Gentoo
42.6,13.7,Gentoo
44.4,17.3,Gentoo
44.0,13.6,Gentoo
48.7,15.7,Gentoo
42.7,13.7,Gentoo
49.6,16.0,Gentoo
45.3,13.7,Gentoo
49.6,15.0,Gentoo
50.5,15.9,Gentoo
43.6,13.9,Gentoo
45.5,13.9,Gentoo
50.5,15.9,Gentoo
44.9,13.3,Gentoo
45.2,15.8,Gentoo
46.6,14.2,Gentoo
48.5,14.1,Gentoo
45.1,14.4,Gentoo
50.1,15.0,Gentoo
46.5,14.4,Gentoo
45.0,15.4,Gentoo
43.8,13.9,Gentoo
45.5,15.0,Gentoo
43.2,14.5,Gentoo
50.4,15.3,Gentoo
45.3,13.8,Gentoo
46.2,14.9,Gentoo
45.7,13.9,Gentoo
54.3,15.7,Gentoo
45.8,14.2,Gentoo
49.8,16.8,Gentoo
46.2,14.4,Gentoo
49.5,16.2,Gentoo
43.5,14.2,Gentoo
50.7,15.0,Gentoo
47.7,15.0,Gentoo
46.4,15.6,Gentoo
48.2,15.6,Gentoo
46.5,14.8,Gentoo
46.4,15.0,Gentoo
48.6,16.0,Gentoo
47.5,14.2,Gentoo
51.1,16.3,Gentoo
45.2,13.8,Gentoo
45.2,16.4,Gentoo
49.1,14.5,Gentoo
52.5,15.6,Gentoo
47.4,14.6,Gentoo
50.0,15.9,Gentoo
44.9,13.8,Gentoo
50.8,17.3,Gentoo
43.4,14.4,Gentoo
51.3,14.2,Gentoo
47.5,14.0,Gentoo
52.1,17.0,Gentoo
47.5,15.0,Gentoo
52.2,17.1,Gentoo
45.5,14.5,Gentoo
49.5,16.1,Gentoo
44.5,14.7,Gentoo
50.8,15.7,Gentoo
49.4,15.8,Gentoo
46.9,14.6,Gentoo
48.4,14.4,Gentoo
51.1,16.5,Gentoo
48.5,15.0,Gentoo
55.9,17.0,Gentoo
47.2,15.5,Gentoo
49.1,15.0,Gentoo
47.3,13.8,Gentoo
46.8,16.1,Gentoo
41.7,14.7,Gentoo
53.4,15.8,Gentoo
43.3,14.0,Gentoo
48.1,15.1,Gentoo
50.5,15.2,Gentoo
49.8,15.9,Gentoo
43.5,15.2,Gentoo
51.5,16.3,Gentoo
46.2,14.1,Gentoo
55.1,16.0,Gentoo
44.5,15.7,Gentoo
48.8,16.2,Gentoo
47.2,13.7,Gentoo
46.8,14.3,Gentoo
50.4,15.7,Gentoo
45.2,14.8,Gentoo
49.9,16.1,Gentoo
46.5,17.9,Chinstrap
50.0,19.5,Chinstrap
51.3,19.2,Chinstrap
45.4,18.7,Chinstrap
52.7,19.8,Chinstrap
45.2,17.8,Chinstrap
46.1,18.2,Chinstrap
51.3,18.2,Chinstrap
46.0,18.9,Chinstrap
51.3,19.9,Chinstrap
46.6,17.8,Chinstrap
51.7,20.3,Chinstrap
47.0,17.3,Chinstrap
52.0,18.1,Chinstrap
45.9,17.1,Chinstrap
50.5,19.6,Chinstrap
50.3,20.0,Chinstrap
58.0,17.8,Chinstrap
46.4,18.6,Chinstrap
49.2,18.2,Chinstrap
42.4,17.3,Chinstrap
48.5,17.5,Chinstrap
43.2,16.6,Chinstrap
50.6,19.4,Chinstrap
46.7,17.9,Chinstrap
52.0,19.0,Chinstrap
50.5,18.4,Chinstrap
49.5,19.0,Chinstrap
46.4,17.8,Chinstrap
52.8,20.0,Chinstrap
40.9,16.6,Chinstrap
54.2,20.8,Chinstrap
42.5,16.7,Chinstrap
51.0,18.8,Chinstrap
49.7,18.6,Chinstrap
47.5,16.8,Chinstrap
47.6,18.3,Chinstrap
52.0,20.7,Chinstrap
46.9,16.6,Chinstrap
53.5,19.9,Chinstrap
49.0,19.5,Chinstrap
46.2,17.5,Chinstrap
50.9,19.1,Chinstrap
45.5,17.0,Chinstrap
50.9,17.9,Chinstrap
50.8,18.5,Chinstrap
50.1,17.9,Chinstrap
49.0,19.6,Chinstrap
51.5,18.7,Chinstrap
49.8,17.3,Chinstrap
48.1,16.4,Chinstrap
51.4,19.0,Chinstrap
45.7,17.3,Chinstrap
50.7,19.7,Chinstrap
42.5,17.3,Chinstrap
52.2,18.8,Chinstrap
45.2,16.6,Chinstrap
49.3,19.9,Chinstrap
50.2,18.8,Chinstrap
45.6,19.4,Chinstrap
51.9,19.5,Chinstrap
46.8,16.5,Chinstrap
45.7,17.0,Chinstrap
55.8,19.8,Chinstrap
43.5,18.1,Chinstrap
49.6,18.2,Chinstrap
50.8,19.0,Chinstrap
50.2,18.7,Chinstrap
