frequency,monetary,recency
12,77556.46,324
8,5633.32,1
5,2019.4,74
4,4428.69,17
1,334.4,309
1,300.93,374
10,2849.84,35
2,406.76,203
1,1079.4,231
2,947.61,213
6,6373.68,21
3,18287.66,32
5,3887.07,0
10,8935.94,56
8,4252.89,51
4,511.25,286
11,5356.23,2
2,552.0,108
4,1313.1,6
2,641.38,290
1,500.24,632
1,168.9,3
1,917.6999999999999,627
3,1791.15,412
7,4320.31,50
5,4067.38,43
3,1298.04,70
3,1127.65,310
4,2989.2200000000003,24
2,457.5,9
2,503.15,388
4,3426.32,314
2,5416.32,128
4,1620.22,80
11,9676.300000000001,20
5,1845.31,3
5,1850.56,183
2,585.27,27
1,1938.4,378
2,660.8,336
1,143.94,414
8,3901.11,14
3,1433.33,401
1,549.84,78
6,2773.42,20
1,234.75000000000003,590
6,2399.4500000000003,71
2,1272.48,62
15,5067.27,18
1,931.43,673
2,2409.9,34
1,1635.6599999999999,44
7,1962.3,118
1,205.25,413
1,84.3,302
6,1256.9,322
2,1019.36,48
1,63.24,681
1,1710.39,147
5,6390.36,21
5,1708.1200000000001,48
8,4340.7699999999995,31
7,23419.29,77
3,1013.71,307
1,346.9,408
6,2596.93,73
4,999.45,65
6,952.41,216
27,144458.37,23
1,202.56,655
20,6816.91,2
4,2021.2,111
2,503.01,384
1,600.39,62
6,1098.6,14
17,5231.8,94
10,2622.39,-1
3,3340.03,161
2,1741.41,77
2,1345.21,193
3,1129.3,20
9,7956.46,24
8,7485.91,8
1,256.4,42
27,10857.97,34
5,5059.32,41
10,20581.26,-1
3,1103.43,83
6,13925.93,78
1,509.01,98
39,12683.4,0
2,2906.85,13
2,1158.18,681
2,859.2,461
1,347.1,365
1,172.06,2
1,485.31,731
5,5005.46,20
2,434.98,21
1,1002.3100000000001,56
1,476.49,242
1,449.45,43
6,4835.89,21
5,688.2,155
8,12669.88,9
2,430.57,15
1,707.09,133
5,16679.78,55
10,5879.95,72
3,3181.04,43
8,2995.91,65
4,1777.49,70
1,454.36,604
1,326.65,455
2,826.88,93
2,1189.59,17
4,1344.78,52
8,1212.05,9
2,742.1899999999999,16
1,56.73,681
1,132.8,422
5,3670.74,186
2,3070.54,521
1,211.95,688
78,39963.79,1
19,17880.59,31
5,3938.5499999999997,28
31,12424.45,16
2,1149.64,52
23,14115.41,14
9,20276.37,21
1,680.99,2
1,527.2,10
7,5464.85,27
15,12361.39,21
27,23691.4,575
19,5120.58,16
12,6370.15,31
1,708.1,528
1,1037.28,430
1,285.29999999999995,729
3,1298.66,8
1,334.93,335
21,9823.64,4
1,460.40000000000003,37
3,715.21,62
2,433.74,164
9,1872.8700000000001,14
1,357.4,639
2,54.09,619
3,6248.5,80
3,403.70000000000005,20
1,393.72,559
19,5955.21,22
1,2169.39,335
5,3723.87,94
1,1126.0,583
4,779.05,17
1,955.2,407
1,73.5,231
4,1844.06,133
2,398.27,25
1,176.5,283
9,5178.02,141
1,3084.02,427
2,138.03,65
1,612.29,111
2,1597.76,266
1,383.7,352
4,2648.62,76
5,2502.84,27
5,2056.89,-1
2,726.54,62
5,2634.26,78
1,599.68,141
2,192.72,38
23,4372.15,18
17,11126.11,8
3,973.73,497
3,1316.66,-1
5,735.51,80
6,1933.48,8
1,316.48,527
9,3759.26,58
2,1933.2,13
1,349.83000000000004,29
2,1367.89,626
1,1089.18,129
2,716.35,90
3,12601.830000000002,42
1,732.94,407
2,640.45,28
7,11214.75,21
33,22254.49,18
3,981.18,28
2,481.88,483
1,980.25,447
1,372.7,35
2,1000.39,74
2,1161.5,45
3,383.58,196
1,95.19999999999999,165
6,1575.68,574
1,964.83,78
1,168.0,356
2,437.82,37
12,4608.75,7
1,468.5,447
1,129.23,681
2,603.71,49
8,18716.14,15
1,269.96,6
2,561.71,309
3,2134.01,4
1,238.85,301
9,4966.92,7
1,249.24,407
1,456.9,260
1,145.92,287
1,351.65,85
15,13709.86,21
1,70.0,643
30,4124.69,1
1,77.52,681
2,519.61,38
2,1020.42,7
5,717.41,226
1,218.45,314
2,622.8199999999999,456
9,2142.72,34
8,1653.75,34
4,4642.45,20
1,440.42,77
2,1052.9,245
1,197.71,38
4,1980.4,237
27,14447.44,1
9,2338.15,2
2,2040.1,233
4,2062.67,16
1,144.0,6
4,958.78,38
8,4695.66,27
2,9864.26,210
3,1352.15,316
5,2582.66,91
3,418.09999999999997,107
15,5090.110000000001,36
1,299.02,503
2,618.27,50
4,3811.22,18
11,4534.09,8
13,2296.72,28
21,5043.92,27
6,681.26,188
1,153.12,57
1,739.1999999999999,20
2,254.18,78
4,1232.95,375
1,21.0,681
1,1579.51,59
1,415.79,403
9,3435.86,77
5,2099.54,21
1,1193.32,51
1,704.0400000000001,73
10,6835.07,56
1,315.6,276
8,5740.98,1
3,1131.1,94
1,355.53,28
1,177.31,20
10,3781.38,15
3,1339.41,13
35,24775.81,0
1,180.1,231
7,3747.84,275
2,641.13,105
4,5164.88,210
9,6620.48,22
7,4478.53,9
3,786.46,3
2,1558.22,384
2,1270.88,8
7,3481.57,56
2,804.88,519
7,5678.16,57
2,490.0,534
4,2930.41,88
1,141.0,737
13,8340.31,66
2,921.49,32
3,1312.37,237
3,1174.58,22
1,185.9,114
3,1013.26,24
12,8350.42,127
4,1918.49,128
9,3539.3,32
2,1346.97,3
35,17924.35,21
4,1112.0,153
8,2294.65,106
1,314.44,2
4,377.75,333
2,1017.03,330
3,4160.83,147
5,601.98,9
1,261.35,422
8,6407.83,16
4,1643.18,10
1,686.05,17
1,91.68,28
1,245.1,10
1,162.0,435
20,6988.02,-1
2,239.4,623
11,6070.04,7
3,313.6,323
1,1248.42,393
1,620.13,57
11,11444.68,10
3,2744.0299999999997,149
7,3760.29,9
1,2622.481,605
2,437.05,328
3,1230.02,4
4,1970.6,37
2,958.5,552
11,2843.09,23
2,395.1,554
21,34281.18,41
4,1113.02,57
4,880.81,-1
45,30868.28,13
52,24033.91,2
21,12696.78,3
7,2283.63,6
6,2863.08,27
1,178.28,370
2,2138.91,479
1,4873.8099999999995,112
2,1247.61,24
1,389.01,204
7,1170.4,27
1,110.95,636
7,1703.02,126
3,1843.35,69
7,1407.1200000000001,6
2,851.91,433
3,957.59,27
1,339.75,589
1,638.11,416
4,4939.99,6
6,2446.41,78
1,219.0,18
4,1006.53,70
8,2340.84,6
14,11762.1,14
1,603.42,290
18,5314.1,28
33,31093.34,14
3,1149.02,95
2,1339.05,610
21,7193.66,27
1,848.55,-1
12,14093.71,8
1,353.86,105
2,1053.49,2
3,1308.91,150
1,238.25,70
2,644.95,4
30,8260.67,1
8,4013.08,30
4,997.63,84
5,725.07,2
7,2317.52,4
4,2694.56,370
11,4014.6,27
10,5679.53,9
5,1070.17,70
1,453.01,112
1,829.25,520
17,25775.71,22
1,236.26000000000002,178
4,2424.87,233
3,639.65,351
2,779.5699999999999,314
1,234.0,331
2,3710.5,497
1,310.7,371
4,2726.73,77
1,427.6,62
2,406.07,528
1,1201.52,624
2,546.43,133
11,25317.06,50
3,925.41,485
1,254.55,539
26,9276.539999999999,1
338,56599.39,-1
9,6897.36,2
1,275.88,127
1,268.27,443
1,4366.78,80
6,21429.39,21
4,3010.74,234
11,9030.66,279
1,112.07999999999998,85
13,7857.1,14
7,9903.24,115
8,5020.74,51
1,347.8,454
2,782.95,456
2,1898.52,6
2,814.16,137
1,1693.88,315
6,1404.58,471
9,10068.28,2
1,949.82,374
1,168.69000000000003,449
1,1143.6,237
2,3246.45,209
1,282.3,484
1,892.47,58
1,124.25,563
1,98.7,534
7,1686.12,16
1,55.5,666
1,519.45,456
9,1775.68,18
14,6722.2699999999995,36
1,337.4,597
2,826.74,62
11,4618.24,3
6,2225.91,1
3,1804.75,8
3,1100.4,363
1,728.5,608
4,862.18,8
4,444.9,462
3,273.35,64
2,591.85,191
6,1056.1100000000001,372
2,827.01,255
3,1017.33,333
2,860.41,52
1,430.48,17
1,381.0,627
2,806.11,364
4,8510.93,9
1,219.35,528
3,584.25,469
1,1071.82,499
7,2416.42,185
1,1092.81,392
2,327.02,464
4,1434.95,380
4,2878.96,434
1,330.35,382
5,906.1,35
3,1755.94,176
2,534.99,533
5,1033.9,259
1,229.64000000000001,43
3,1687.8,500
1,125.92,100
2,1063.46,146
2,572.2,94
3,690.98,280
1,1542.08,260
1,540.52,457
11,2689.52,2
2,220.8,213
2,948.88,69
18,6501.5,73
1,397.12,58
2,518.63,520
12,2955.75,1
3,430.15000000000003,4
6,1018.71,1
3,385.3,335
6,6814.64,36
3,451.11,261
2,383.03,31
1,417.38,144
1,312.38,281
42,6043.31,426
16,6585.62,58
2,688.41,172
10,3398.48,32
26,10071.73,1
7,4041.97,142
39,7540.68,3
4,1917.99,69
30,6588.41,64
4,648.6,28
4,354.09,266
1,15.58,681
2,1636.8999999999999,21
1,208.0,674
6,3090.56,30
1,330.0,444
2,284.13,95
1,311.55,293
11,3907.5,133
7,2994.02,77
4,650.9399999999999,371
6,2179.93,6
6,3688.0,209
1,177.92,382
1,575.1,457
1,55.47,692
1,68.25,618
2,1008.3199999999999,424
6,2792.5499999999997,51
2,299.57,137
4,3323.47,25
3,1227.35,282
13,7913.29,25
8,2247.06,184
1,337.66999999999996,680
3,1676.95,374
3,744.02,83
12,3685.4900000000002,325
3,2027.3,281
2,948.42,384
5,1356.99,142
4,4081.79,56
20,2955.17,2
2,854.99,235
3,573.22,43
2,640.13,380
1,298.0,274
2,1463.04,8
4,703.47,23
1,309.05,87
3,1175.22,62
2,1378.4,66
1,222.4,382
2,354.12,213
4,385.46000000000004,380
3,717.27,23
11,840.5,184
1,263.38,395
1,188.14,29
1,157.35,574
2,372.8,41
4,514.25,203
2,310.96000000000004,462
1,366.4,412
1,340.33,421
28,17654.54,7
1,138.68,263
1,833.53,427
2,509.58,17
2,1018.42,575
4,2919.81,10
2,508.91,394
5,1776.0,175
8,3103.19,38
13,5796.52,22
1,1680.47,550
5,1662.3,1
13,6700.860000000001,3
1,223.98,399
4,1174.75,147
7,4654.0199999999995,137
6,4359.2,127
1,10953.5,625
6,1335.19,7
3,488.09000000000003,16
73,35921.04,8
1,405.38,160
3,789.87,63
12,2469.4,87
3,729.3299999999999,3
4,1548.46,410
1,197.31,393
12,4304.89,34
1,117.85,310
2,415.8,77
56,92347.34,20
8,1698.56,538
8,1687.03,23
1,181.65,735
15,4243.86,1
4,1063.9,16
9,3097.61,14
1,114.14,24
19,25264.8,63
2,913.54,53
1,377.49,723
3,942.65,130
2,496.5,557
2,604.51,34
2,900.11,287
1,324.45,435
6,1908.03,142
9,2317.43,15
21,15526.7,29
3,1843.0,1
15,3213.7200000000003,7
4,1387.79,4
2,828.8100000000001,8
1,162.45,637
11,4757.16,0
4,521.89,305
13,8706.97,8
2,539.49,399
1,150.95,483
4,1322.07,412
1,211.99,378
2,266.39,6
12,3601.59,7
1,132.24,436
1,771.91,88
1,160.18,8
3,4306.92,357
1,135.95,111
1,122.45,601
10,1524.97,6
112,15972.79,2
4,1161.2,412
1,385.55,412
2,408.95,196
6,2100.09,435
8,3156.38,210
4,517.63,155
5,2502.82,384
1,517.7,728
21,16245.78,156
2,372.21999999999997,28
8,2744.81,241
1,490.08000000000004,597
1,97.5,17
2,1239.38,-1
10,2729.84,427
5,1312.21,72
1,535.32,291
32,13551.75,2
7,955.5,30
3,764.82,22
1,93.35000000000001,724
8,1259.6299999999999,22
3,974.4200000000001,3
1,211.32,84
1,355.5,374
8,2110.91,21
3,920.08,491
3,455.88,195
4,1032.5,105
33,24172.100000000002,3
3,414.13,317
3,149.05,104
36,11650.85,10
4,999.68,172
1,81.57,55
1,175.25,578
3,612.13,322
1,234.0,671
2,330.12,373
1,101.10000000000001,371
11,2972.83,8
30,12625.77,0
11,5381.08,9
11,6586.42,52
3,789.89,72
1,204.0,6
33,9763.16,15
6,1229.95,378
2,618.96,561
17,4887.24,3
1,65.3,428
4,1449.03,63
2,555.87,469
1,323.39,730
9,1733.08,0
19,17335.2,112
2,661.3199999999999,21
5,1927.3,29
2,1227.22,10
5,3419.27,406
9,2843.55,51
2,220.55,356
3,922.68,53
3,1364.2,72
1,307.1,683
12,3914.9500000000003,137
3,908.46,79
4,1010.73,583
2,676.99,7
4,799.13,449
3,1556.54,597
1,516.42,272
11,4853.9,290
3,808.92,98
3,949.25,29
23,8795.16,30
9,4084.21,13
4,1408.24,63
35,12344.53,13
2,155.8,577
7,3168.53,211
1,127.65,620
4,2321.11,77
1,209.48,550
3,722.09,529
3,271.40000000000003,23
10,2303.17,248
1,307.53,252
1,248.61,71
1,346.98,190
1,188.4,479
6,1680.74,11
5,1260.91,372
2,470.8,23
3,508.51,81
2,344.0,9
38,9683.13,-1
4,751.7,191
1,129.22,611
1,177.15,265
2,418.08,410
4,1378.74,510
1,919.61,128
1,135.4,456
11,3064.67,0
57,29532.45,2
6,419.18,3
4,280.73,178
28,59205.15,10
21,7335.75,125
3,395.43,3
1,122.39999999999999,490
8,2433.28,156
1,439.33000000000004,381
1,313.64,725
1,236.11,416
198,116737.86,1
24,14103.09,7
3,2321.82,27
12,2140.28,69
55,54943.65,274
13,2433.1200000000003,20
1,74.39999999999999,69
1,419.70000000000005,393
28,13389.22,31
28,28882.44,0
1,207.35999999999999,98
4,695.4,233
37,11696.92,0
3,709.64,38
9,1709.1,2
1,72.0,435
2,603.46,132
9,5253.07,43
2,1098.52,371
3,1134.03,58
12,2957.4700000000003,30
1,321.88000000000005,717
1,20.6,540
37,18625.73,-1
1,234.38,729
10,5494.7,10
1,501.14,137
18,2643.81,20
9,2415.41,18
1,134.9,667
1,30.599999999999998,237
1,283.73,268
2,922.39,93
2,506.75,471
4,4782.45,88
1,158.57,522
13,3998.25,3
1,259.17,76
1,263.5,630
2,233.25,451
1,64.0,93
7,3313.77,22
1,77.3,260
3,200.45000000000002,272
6,2475.23,84
2,3371.45,195
13,6274.56,55
16,7712.7,9
7,1467.24,21
8,8202.98,15
5,1215.68,107
17,7668.58,83
1,307.09,18
1,405.1,583
2,135.35,331
7,1423.52,38
1,228.91,25
4,712.8000000000001,9
26,8621.81,28
4,1676.06,13
3,449.96999999999997,483
3,2580.7400000000002,294
7,2146.38,416
1,486.22,4
3,1624.84,398
6,1750.18,32
3,1586.54,384
9,5687.36,48
5,1508.18,93
4,1437.85,7
1,91.8,21
2,478.88,312
16,9275.49,121
1,17.65,609
2,372.2,568
3,1451.16,45
2,884.18,282
5,1125.15,17
5,1875.31,35
3,840.08,62
1,116.00999999999999,25
3,468.41,20
1,69.6,399
11,2639.35,3
12,9494.84,15
2,831.45,581
1,492.84,45
2,512.2,63
21,14059.19,25
1,572.3100000000001,617
1,86.10000000000001,606
1,359.69,380
1,121.18,44
15,7036.18,6
10,1701.29,13
1,71.4,266
3,1575.89,38
4,367.01,336
1,114.60000000000001,10
2,260.68,17
3,570.66,543
1,164.69,657
6,2558.58,94
1,117.88,60
2,472.78,134
1,172.38,413
7,3068.84,10
1,373.01000000000005,608
8,4974.2300000000005,9
65,16432.89,2
4,870.09,18
4,1240.6100000000001,501
8,1580.3,393
10,2648.25,8
1,966.6600000000001,730
1,2803.2,442
13,8377.32,399
4,535.86,14
9,1988.5,57
13,8509.51,29
1,353.48,92
10,2729.32,9
3,788.08,18
11,3851.52,55
7,3264.23,416
1,81.6,401
1,333.74,266
4,666.48,121
1,62.63999999999999,126
1,76.23,617
5,1336.0900000000001,77
2,847.41,239
1,88.5,576
6,969.1200000000001,199
2,2155.95,59
16,16260.07,2
2,312.46,272
1,257.7,200
1,358.0,80
1,160.95,224
32,6360.78,3
7,1357.6,11
4,1176.46,73
2,356.95,671
1,1031.07,211
2,744.85,23
1,643.0,386
6,1006.63,16
5,1594.69,260
8,1738.52,95
1,115.58,410
7,699.4,111
5,1278.04,202
1,121.74000000000001,91
2,989.22,49
11,3387.43,17
4,501.12,16
2,465.68,123
9,1608.93,91
2,256.04,459
1,252.68,401
2,399.3,393
4,2951.11,155
1,51.410000000000004,375
3,904.46,8
1,0.0,13
1,149.75,435
5,1035.18,10
9,1433.38,60
1,557.62,60
2,944.1,267
3,573.45,262
39,8704.69,0
1,722.5600000000001,441
5,2107.66,52
19,6135.04,10
34,9758.26,1
11,3214.69,16
28,8891.7,0
1,1180.0,365
1,217.38,36
2,276.56,30
1,138.98,112
1,360.85,408
2,241.66,382
5,1939.26,62
7,523.3,14
4,1435.85,39
1,137.75,77
7,2322.63,121
1,350.85,438
4,1313.19,17
4,373.36,58
1,201.19,329
6,3364.59,22
1,734.91,599
3,781.59,602
5,927.61,442
1,307.95,722
1,208.63,437
11,3320.84,154
5,994.51,37
6,1192.94,391
3,1689.53,188
4,1101.97,358
6,792.51,136
7,4368.62,6
1,360.0,0
3,1218.7,267
3,1285.51,168
4,618.09,102
2,159.2,154
1,61.72,399
4,1217.99,350
16,3754.71,3
1,53.65,429
3,273.34,119
4,1670.3700000000001,21
6,1706.3700000000001,6
5,1541.2,27
2,598.57,3
1,124.75,450
12,3445.32,21
3,775.94,0
1,310.26,688
10,13191.57,36
17,6486.091,65
3,640.76,0
57,22082.5,4
6,2228.1,77
2,567.36,71
1,199.48000000000002,16
5,787.85,2
18,10513.47,35
1,675.3,80
1,281.76,431
20,9879.48,37
1,1308.48,315
8,5112.97,30
6,2806.18,91
1,262.4,400
1,350.9,13
3,1015.74,410
5,6263.75,81
1,795.12,76
1,1575.26,545
4,2445.62,156
1,860.12,199
12,22100.56,44
1,775.85,259
1,353.43,176
3,2543.72,66
1,389.5,286
6,299.4,461
1,341.36,69
1,233.76,63
1,247.32,9
2,979.12,15
1,373.94,65
1,397.97999999999996,59
1,743.53,70
1,674.7,121
1,768.24,79
5,3838.36,256
1,439.03,267
2,1043.31,62
4,1553.65,430
2,1450.5,471
7,5394.07,8
3,1723.86,16
1,134.95999999999998,70
2,2225.37,32
1,56.160000000000004,49
1,510.20000000000005,430
4,1121.5,255
1,616.5600000000001,364
1,1509.74,370
2,2297.66,504
1,378.64,88
6,7587.1900000000005,59
2,422.8,413
2,1792.23,87
3,1019.76,98
2,1552.88,395
3,572.56,25
1,62.4,431
12,8224.37,30
5,1387.58,279
1,305.28000000000003,542
11,6680.83,29
1,534.57,328
2,835.46,413
1,189.44,416
2,1185.65,130
3,797.96,10
1,544.08,73
1,59.8,202
1,91.14,676
4,1131.45,582
19,6621.7,0
3,1180.23,184
2,1360.99,28
10,3191.87,71
2,670.34,191
3,275.4,463
1,310.83,581
4,1535.13,126
3,229.5,16
2,252.49,0
6,1213.811,73
2,568.92,426
3,2244.7,577
102,51733.462,0
9,2201.96,23
1,213.55,106
1,487.34999999999997,619
6,429.44,638
6,2494.14,132
4,800.67,471
3,940.8000000000001,42
6,1669.49,3
31,12233.6,10
1,221.06,62
2,159.85,148
8,4103.12,39
1,2626.3,63
1,217.03,427
1,572.77,448
5,3403.63,107
22,8167.38,-1
6,1006.53,18
3,499.98,9
4,1006.8,9
2,679.45,17
8,3316.24,66
2,439.1,570
4,658.3199999999999,500
5,1666.8600000000001,73
9,4475.2300000000005,4
1,196.89,0
7,3408.06,13
1,46.5,546
3,986.61,254
5,1295.25,422
2,720.9,90
3,419.87,666
6,1280.16,447
2,631.6800000000001,373
1,241.89999999999998,625
11,3881.89,429
3,1129.14,22
13,9240.87,15
1,291.88,22
13,4120.04,25
11,7190.92,25
3,729.8,258
3,781.6899999999999,164
1,219.87,640
6,2905.93,23
6,1766.72,16
2,148.22,687
16,11959.27,6
2,1160.4099999999999,623
2,183.44,28
6,4160.0,37
5,1153.85,251
6,3097.64,57
2,931.12,445
5,1013.35,183
2,1083.71,9
72,13390.51,0
1,82.4,652
2,165.0,98
4,2531.58,0
2,592.24,462
8,2657.7599999999998,59
3,663.79,235
4,1431.78,190
5,2061.4700000000003,177
11,2834.17,36
5,2215.78,468
5,851.37,199
2,627.82,415
10,3830.84,44
2,336.09,231
1,140.34,64
3,790.72,240
11,3019.2200000000003,232
3,1122.41,77
5,846.87,56
23,15587.88,16
4,449.52,104
1,154.25,653
27,4566.56,50
3,1269.84,135
2,618.63,274
1,316.26000000000005,310
10,5374.26,6
2,653.33,9
6,1320.33,281
1,327.38,729
5,1159.11,16
4,1466.3,22
3,2885.11,287
5,780.5,15
6,1905.39,70
1,295.93,63
4,4393.63,71
5,1639.2,315
4,2479.16,2
2,287.05,242
8,1114.72,7
11,4558.29,0
1,282.76,675
4,713.39,259
3,824.59,125
4,815.9000000000001,72
6,1265.82,71
4,1685.26,20
3,2128.42,58
1,659.4399999999999,84
2,343.21,77
11,6909.4,57
3,1093.65,0
1,125.80000000000001,29
6,5101.52,32
5,680.1800000000001,39
2,628.78,13
2,1182.0,737
12,4683.74,32
2,307.76,77
1,402.97999999999996,633
6,1738.52,204
1,210.31,32
3,270.79,181
32,7720.9,1
1,89.5,401
7,3448.29,0
2,717.85,424
12,3112.73,42
7,1569.3600000000001,84
3,632.39,466
2,785.25,426
17,4006.17,375
2,1439.6100000000001,633
6,829.0,38
2,374.64,389
5,1092.14,11
1,175.53,407
3,908.99,95
8,1005.8,24
1,349.51,382
2,244.2,318
22,6978.92,65
1,517.8,673
7,1638.28,379
13,8999.19,72
2,200.82,428
13,3032.26,27
4,605.06,4
2,990.0,511
1,174.37,6
11,1820.72,214
8,4838.18,80
2,777.53,83
37,17249.55,143
3,414.8,18
5,1708.1200000000001,39
4,1083.69,427
1,192.85,172
4,893.78,16
1,239.49,242
26,4546.54,11
1,1384.25,204
6,916.47,49
1,421.25,410
5,732.0699999999999,22
28,11551.74,9
11,3489.28,24
1,147.66,408
5,1539.04,13
1,107.75,405
2,280.53000000000003,308
2,241.68,388
2,1445.031,154
3,392.45,305
3,684.54,529
1,131.53,540
4,1673.5,62
9,2478.95,14
6,1120.74,13
18,6349.59,10
7,2093.94,63
4,247.95999999999998,34
14,5523.6900000000005,107
2,533.32,51
3,818.22,515
2,697.04,4
2,396.71,399
5,789.59,46
31,10167.630000000001,0
2,518.42,311
4,1185.14,44
4,1025.17,63
1,164.34,25
1,717.62,657
2,522.67,386
3,280.53999999999996,28
2,1078.31,39
1,236.2,539
1,167.35,592
14,2175.88,11
10,3319.53,88
1,818.29,631
5,1039.8500000000001,451
6,2359.19,23
8,6272.53,317
2,288.1,567
8,1278.75,39
1,177.34,172
2,231.69,543
1,112.34,527
1,213.85,115
1,658.95,695
10,2566.49,29
1,462.08,387
1,301.26,595
2,707.04,251
7,2245.9,58
1,310.14,675
19,13370.86,22
7,2031.78,4
11,3070.42,98
8,3648.15,23
16,5073.47,32
4,2999.16,66
5,949.12,35
3,810.5,51
1,122.64,14
2,1346.27,73
1,405.0,610
5,1016.47,639
4,514.72,214
10,2156.77,30
4,2624.26,15
1,252.1,119
2,326.25,398
8,3071.68,8
8,1764.02,399
6,1678.88,255
9,3288.0,15
3,226.85,34
5,2570.85,44
1,152.2,486
11,6308.0,42
6,2280.51,113
4,1078.85,163
2,382.14,9
9,6025.5,8
12,4894.88,204
1,314.59,399
1,325.24,602
11,2250.11,84
5,2047.51,178
3,1711.6599999999999,385
5,127.89999999999999,59
1,305.02,148
35,13089.94,1
3,413.55,49
1,349.7,74
1,194.95,393
3,419.92,300
2,396.92,17
1,240.68,431
2,486.82000000000005,150
2,243.9,538
3,556.1899999999999,403
1,232.6,150
3,281.26,492
12,11435.67,0
4,827.83,16
1,59.5,186
1,258.6,456
4,596.98,284
7,3119.44,1
3,409.04,181
1,11880.84,437
1,375.5,634
2,1259.5,62
1,172.25,58
1,212.78,395
5,3114.4,23
9,2011.82,373
143,196482.81,2
16,2770.73,30
3,2020.4,420
1,151.29999999999998,37
2,465.53000000000003,595
2,764.15,154
13,2613.46,25
1,161.0,445
1,135.18,444
2,425.56,317
9,2308.06,4
7,2035.33,6
2,631.17,301
5,3365.86,266
1,296.88,270
18,7591.75,2
3,509.52,30
9,1792.26,217
2,766.42,245
3,743.26,407
1,161.35,464
17,8483.29,280
1,138.28,268
8,1763.3,31
2,306.55,245
11,2815.25,14
4,799.9,115
2,741.54,35
10,5635.41,130
6,1209.2,216
1,213.01,636
8,1980.56,48
2,1079.6599999999999,37
8,1080.05,27
16,2855.17,35
3,724.73,434
2,752.6,134
2,610.59,218
1,491.86,27
2,487.03000000000003,409
4,6701.640000000001,507
13,9813.22,23
7,2766.21,4
1,339.59999999999997,199
1,440.93,395
2,292.2,17
5,1597.77,239
3,668.4300000000001,70
12,3131.02,15
7,1341.6,1
2,1156.36,94
2,777.36,161
1,176.69,412
2,249.39999999999998,372
8,2268.35,94
11,3602.1800000000003,52
1,296.25,287
7,1590.73,123
4,2094.57,286
3,447.05,150
9,2161.35,2
23,9207.5,1
1,195.55,673
15,9416.98,10
2,659.4100000000001,32
5,1363.6399999999999,53
6,1952.17,49
5,2472.48,217
3,5217.4400000000005,62
6,2953.26,69
1,352.821,652
1,190.35,494
72,35540.53,1
2,875.97,725
20,5800.42,1
4,785.37,421
9,5728.82,63
8,3114.22,32
2,301.54,395
1,345.0,80
1,1049.66,589
2,623.98,427
60,56478.42,-1
4,1124.49,102
1,161.13,514
3,735.82,6
3,778.83,249
13,1793.72,11
4,1542.09,486
14,2910.23,8
4,542.49,427
6,3358.94,366
6,1222.5,74
1,3.75,504
1,239.45999999999998,387
1,348.8,3
2,1516.0,126
3,383.95,65
1,96.0,645
1,126.03,545
4,836.3,387
1,289.7,498
3,1179.45,435
109,75836.87,0
9,2803.57,115
3,1679.56,308
1,324.8,65
19,26259.11,137
3,1338.91,254
9,3208.52,29
2,924.6,51
1,256.38,62
3,534.8,366
5,1747.66,4
3,679.7,304
3,1499.01,27
3,814.5,182
3,539.0,41
8,2765.47,38
3,2257.32,91
8,7475.74,21
2,571.6700000000001,22
2,382.98,28
1,61.28,428
6,2642.35,300
3,660.65,417
6,1410.73,143
2,632.0,4
7,3403.4500000000003,17
12,3314.76,31
2,255.59,620
1,189.5,175
3,412.05,56
1,209.49,21
1,102.0,420
1,156.85000000000002,580
18,7023.58,15
2,613.6899999999999,18
2,701.36,158
2,324.19,575
7,1095.27,24
2,620.37,398
2,271.24,210
10,1966.09,4
1,139.95000000000002,485
1,651.4,415
1,85.0,251
